0 shell 8621
1 shell 15034
3 shell 30383
4 shell 362774
5 shell 369594
6 shell 374612
10 shell 375231
11 shell 386191
12 shell 427489
15 shell 431777
16 shell 472841
36 shell 624148
38 shell 993340
39 shell 1002938
40 shell 1003069
43 shell 1003430
44 shell 1012000
45 shell 1012457
46 shell 1016321
48 shell 1041864
50 shell 1047233
53 shell 1052747
54 shell 1068199
57 shell 1078159
58 shell 1100577
59 shell 1170785
60 shell 1181009
64 shell 1195477
65 shell 1200736
67 shell 1200855
71 shell 1592768
72 shell 1606017
73 shell 1606659
74 shell 1612001
75 shell 1629239
78 shell 1630799
79 shell 1688064
80 shell 1725713
81 shell 1739833
82 shell 1747885
83 shell 1806423
84 shell 1813844
85 shell 1818097
86 shell 1818385
87 shell 1839552
88 shell 1845667
89 shell 1846714
92 shell 1848861
93 shell 1882804
94 shell 1899789
96 shell 2044364
97 shell 2183446
98 shell 2244208
100 shell 2275267
