0 hadoop 378400
1 hadoop 384813
2 hadoop 411899
3 hadoop 435545
4 hadoop 768578
5 hadoop 787331
6 hadoop 805175
7 hadoop 887159
8 hadoop 953808
9 hadoop 1011819
10 hadoop 1171178
12 hadoop 1598818
13 hadoop 1616058
14 hadoop 1620960
16 hadoop 1629530
17 hadoop 1631147
18 hadoop 1634465
19 hadoop 1640995
20 hadoop 1680561
21 hadoop 1692045
22 hadoop 1727405
23 hadoop 1746167
24 hadoop 1911708
25 hadoop 1944086
26 hadoop 2214138
27 hadoop 2224362
28 hadoop 2255421
29 hadoop 2275148
30 hadoop 2275267
